Time,OrderID,TraderID,OrderType,Price,Volume
0:06:40,1531271,734952,Buy,33,118
0:08:08,1532275,490046,Buy,30,23
0:11:25,1540102,734952,Buy,29,126
0:13:26,1549046,857405,Buy,34,11
0:29:52,1558389,367593,Buy,27,17
0:37:20,1562460,122687,Sell,30,171
0:48:18,1564778,612499,Sell,29,95
0:48:46,1572657,367593,Sell,25,65
0:54:34,1580689,857405,Buy,29,32
1:04:30,1583699,122687,Buy,32,87
1:21:14,1586903,122687,Buy,27,144
1:21:33,1589951,490046,Sell,29,44
1:25:50,1598273,857405,Buy,26,244
1:30:49,1603477,122687,Buy,27,2
1:40:21,1609207,490046,Buy,32,76
1:47:09,1618297,490046,Sell,33,76
1:48:46,1625499,367593,Sell,26,154
1:49:15,1635439,367593,Sell,30,120
1:51:06,1637236,857405,Sell,33,5
1:56:13,1645365,734952,Sell,25,244
2:05:57,1646896,367593,Buy,32,218
2:06:20,1656817,734952,Buy,26,5
2:07:17,1660187,857405,Sell,31,110
2:08:06,1668963,612499,Buy,34,87
2:15:41,1670621,367593,Sell,27,65
2:30:40,1678865,734952,Sell,32,135
2:33:31,1685502,245140,Sell,33,100
2:34:13,1685787,612499,Buy,26,216
2:40:47,1691748,122687,Sell,25,48
3:02:37,1699809,245140,Buy,34,16
3:03:14,1709637,857405,Sell,29,68
3:04:11,1711561,857405,Buy,26,67
3:13:45,1714081,612499,Sell,30,75
3:20:23,1721164,857405,Buy,28,237
3:22:53,1722570,612499,Sell,25,21
3:45:14,1723731,857405,Sell,31,196
3:45:33,1725685,734952,Buy,33,62
3:49:26,1732665,612499,Buy,30,10
3:52:05,1733849,490046,Sell,27,74
3:56:53,1738177,367593,Buy,30,187
4:12:50,1747634,612499,Buy,25,126
4:13:15,1747880,245140,Buy,34,74
4:13:20,1752880,734952,Buy,27,146
4:15:23,1759587,857405,Buy,28,26
4:20:53,1759812,734952,Buy,34,62
4:25:41,1769583,857405,Sell,32,1
4:30:28,1775463,367593,Buy,31,216
4:33:01,1781607,367593,Sell,34,134
4:33:05,1782651,734952,Buy,28,30
4:40:09,1786195,490046,Sell,29,151
4:41:00,1791392,122687,Sell,33,73
4:59:25,1791793,367593,Buy,26,249
5:00:40,1800304,367593,Sell,27,167
5:17:52,1805907,857405,Buy,26,184
5:24:46,1811149,612499,Sell,32,198
5:28:11,1820762,612499,Sell,28,14
5:40:18,1822888,857405,Sell,34,66
5:42:20,1827180,122687,Buy,26,50
5:45:57,1833448,122687,Buy,30,91
5:46:53,1841427,734952,Buy,31,231
6:09:31,1850007,367593,Buy,32,18
6:28:21,1854582,367593,Buy,32,119
6:37:20,1858804,122687,Sell,32,146
6:42:13,1867929,122687,Sell,32,197
6:48:46,1871021,490046,Buy,28,6
6:54:34,1871310,245140,Sell,29,9
7:00:20,1872519,490046,Buy,26,108
7:04:30,1873807,612499,Buy,34,17
7:20:08,1876374,490046,Sell,34,188
7:25:26,1882114,122687,Sell,32,104
7:25:50,1887831,490046,Buy,34,64
7:49:49,1892788,245140,Sell,29,26
7:54:24,1893290,857405,Sell,30,182
7:56:42,1895492,490046,Buy,29,13
8:02:23,1901234,367593,Buy,30,24
8:08:06,1901748,857405,Buy,27,154
8:14:08,1902631,734952,Buy,33,131
8:17:47,1906253,122687,Buy,30,9
8:40:05,1908390,734952,Buy,27,102
9:00:50,1912466,490046,Buy,27,62
9:02:10,1913701,612499,Sell,32,82
9:02:37,1916872,367593,Sell,28,93
9:03:06,1919474,734952,Buy,25,102
9:07:36,1925535,245140,Buy,34,14
9:13:41,1931808,734952,Buy,33,28
9:18:28,1933624,734952,Sell,30,222
9:19:17,1936652,734952,Buy,26,20
9:25:21,1941245,857405,Buy,32,63
9:26:28,1942864,490046,Buy,25,79
9:29:00,1947549,122687,Buy,31,37
9:47:25,1957175,490046,Sell,33,54
9:52:47,1967035,857405,Sell,30,106
10:18:24,1968619,857405,Sell,25,74
10:20:13,1975780,122687,Buy,30,83
10:20:42,1980290,612499,Buy,30,78
10:24:18,1989246,734952,Buy,26,32
10:33:57,1997065,122687,Buy,28,168
10:38:08,1998748,734952,Sell,30,105
10:39:41,2004594,490046,Sell,31,129
11:06:49,2012457,734952,Buy,31,60
11:16:21,2020690,245140,Sell,34,174
11:25:15,2027829,734952,Sell,30,83
11:26:10,2036758,122687,Buy,34,174
11:27:14,2040524,612499,Sell,28,39
11:32:53,2047046,612499,Buy,27,29
11:37:45,2047936,612499,Sell,29,297
11:38:23,2054935,245140,Buy,31,55
11:38:38,2057955,122687,Sell,34,181
11:44:23,2067571,857405,Sell,29,75
11:45:05,2074322,734952,Sell,26,50
11:52:09,2075814,122687,Sell,32,192
11:53:47,2077850,490046,Sell,31,76
11:58:01,2082616,490046,Sell,33,67
12:09:33,2091339,734952,Buy,32,14
12:20:53,2093258,734952,Buy,25,189
12:37:20,2101064,122687,Sell,26,57
12:48:46,2108979,734952,Sell,31,295
12:52:18,2109993,612499,Sell,33,7
12:54:34,2114068,612499,Buy,34,59
13:01:21,2123680,612499,Buy,33,66
13:03:02,2128597,734952,Sell,33,133
13:04:30,2131258,490046,Sell,32,97
13:24:40,2133899,490046,Buy,28,34
13:25:50,2138799,612499,Sell,26,24
13:51:23,2142407,245140,Sell,31,69
13:55:36,2145737,612499,Buy,25,88
14:01:41,2151019,857405,Sell,27,64
14:02:38,2152475,734952,Sell,34,39
14:08:06,2158620,857405,Sell,28,39
14:09:01,2168612,122687,Buy,33,28
14:14:28,2174031,490046,Buy,30,10
14:17:00,2179701,490046,Buy,32,33
14:22:01,2183431,245140,Sell,32,240
14:33:33,2186415,857405,Sell,28,25
14:34:13,2195555,367593,Sell,26,146
14:53:52,2204171,734952,Buy,29,257
15:02:37,2204558,490046,Sell,25,71
15:12:18,2213987,245140,Buy,32,302
15:14:23,2221941,734952,Sell,31,26
15:16:10,2226461,612499,Buy,29,8
15:21:57,2230973,490046,Buy,32,8
15:27:02,2240280,857405,Buy,30,66
15:29:47,2248274,490046,Buy,34,198
15:34:10,2255450,612499,Sell,31,28
15:44:08,2257709,122687,Buy,25,9
15:54:49,2264994,612499,Sell,26,22
16:15:06,2268773,367593,Sell,33,59
16:16:11,2271163,857405,Sell,34,61
16:26:38,2280626,734952,Buy,34,35
16:28:10,2280675,612499,Buy,30,169
16:31:17,2287655,734952,Buy,33,43
16:34:53,2290550,612499,Sell,28,10
16:37:21,2291432,245140,Buy,31,244
16:42:21,2293572,857405,Sell,34,151
16:46:01,2295936,367593,Buy,30,116
16:46:10,2300173,122687,Buy,27,219
17:04:47,2301184,367593,Buy,26,86
17:25:20,2302276,857405,Sell,28,102
17:32:13,2307974,245140,Buy,34,238
17:40:10,2314260,245140,Buy,34,54
17:51:02,2320966,367593,Sell,33,44
17:51:41,2325967,245140,Sell,29,94
17:54:21,2327514,734952,Sell,30,98
17:58:10,2335415,490046,Sell,34,163
18:16:05,2339725,367593,Buy,30,6
18:33:33,2344638,122687,Buy,26,94
18:35:09,2353116,122687,Sell,28,53
18:36:46,2358513,245140,Buy,30,87
18:36:50,2365011,734952,Buy,29,154
18:37:15,2368555,857405,Buy,33,23
18:37:20,2369867,122687,Buy,29,109
18:39:06,2378211,612499,Sell,34,198
18:39:14,2379590,612499,Sell,29,166
18:39:23,2384109,245140,Buy,31,176
18:40:11,2386244,734952,Buy,31,16
18:42:13,2395197,857405,Buy,31,92
18:42:24,2403442,367593,Buy,25,9
18:43:36,2406873,245140,Buy,34,6
18:44:13,2413014,245140,Sell,31,126
18:44:53,2422324,122687,Sell,33,76
18:48:46,2422435,857405,Buy,27,266
18:49:41,2422989,122687,Sell,25,42
18:49:45,2431560,245140,Sell,29,36
18:50:23,2436077,367593,Buy,34,93
18:50:38,2439570,857405,Buy,27,217
18:51:59,2442058,857405,Sell,30,29
18:52:10,2442486,490046,Buy,30,41
18:52:12,2447137,612499,Buy,33,87
18:53:57,2452162,612499,Sell,25,76
18:54:20,2455202,122687,Buy,27,158
18:54:28,2464897,122687,Sell,31,153
18:54:34,2465077,857405,Sell,34,128
18:55:17,2466797,857405,Buy,27,175
18:56:23,2474952,367593,Sell,34,196
18:57:01,2477005,367593,Buy,27,66
18:57:05,2477317,367593,Sell,31,28
18:58:53,2479448,367593,Sell,28,24
19:00:20,2480453,857405,Buy,32,59
19:02:08,2481882,490046,Sell,33,119
19:02:28,2484715,734952,Sell,32,141
19:03:41,2490974,367593,Buy,25,70
19:04:09,2499731,490046,Sell,26,12
19:04:30,2505480,367593,Buy,27,23
19:05:00,2505883,857405,Sell,34,4
19:05:47,2506727,612499,Sell,32,114
19:06:21,2513819,245140,Sell,32,14
19:10:01,2514621,612499,Sell,34,97
19:10:10,2517636,245140,Sell,28,53
19:11:08,2518099,612499,Sell,32,227
19:16:42,2525930,734952,Sell,30,135
19:18:40,2529409,245140,Buy,33,273
19:21:31,2531047,857405,Sell,32,72
19:23:25,2531647,245140,Sell,32,76
19:25:50,2536578,122687,Sell,27,168
19:28:47,2546175,245140,Buy,29,150
19:32:53,2552097,367593,Sell,31,120
19:41:52,2555944,245140,Buy,32,166
19:45:33,2560837,612499,Sell,30,161
19:49:20,2568122,734952,Buy,28,3
19:49:49,2575464,857405,Buy,33,34
19:50:10,2584880,245140,Sell,30,115
19:51:14,2591887,490046,Buy,25,38
20:00:18,2598940,857405,Sell,31,45
20:01:45,2599283,490046,Buy,30,7
20:03:59,2607953,612499,Buy,26,66
20:04:18,2613518,490046,Sell,26,139
20:08:06,2622827,245140,Sell,31,48
20:08:23,2632185,367593,Sell,34,24
20:09:57,2633037,245140,Buy,32,144
20:13:21,2633466,612499,Sell,31,72
20:15:02,2638594,122687,Buy,27,7
20:18:21,2639805,490046,Sell,26,72
20:23:30,2641734,245140,Buy,29,66
20:23:55,2643872,245140,Buy,26,16
20:28:42,2648088,734952,Sell,31,225
20:33:14,2658037,367593,Sell,26,146
20:36:40,2660104,490046,Buy,33,27
20:37:26,2661357,734952,Sell,34,100
20:42:49,2663463,367593,Buy,34,63
20:44:53,2670316,734952,Buy,25,243
20:52:21,2671705,367593,Buy,25,79
